"";"TCGA.DD.A1EG";"TCGA.DD.A3A1";"TCGA.DD.A3A4";"TCGA.EP.A26S";"TCGA.EP.A12J";"TCGA.BC.A10T";"TCGA.DD.A116";"TCGA.DD.A1EH";"TCGA.DD.A11A";"TCGA.DD.A119";"TCGA.DD.A39V";"TCGA.EP.A3RK";"TCGA.DD.A11B";"TCGA.DD.A1EI";"TCGA.BD.A2L6";"TCGA.BC.A10W";"TCGA.G3.A3CH";"TCGA.DD.A11C";"TCGA.BC.A10Y";"TCGA.DD.A3A3";"TCGA.DD.A3A8";"TCGA.DD.A1EL";"TCGA.BC.A10U";"TCGA.FV.A2QR";"TCGA.DD.A1EE";"TCGA.ES.A2HT";"TCGA.FV.A3I0";"TCGA.FV.A23B";"TCGA.DD.A113";"TCGA.BC.A110";"TCGA.DD.A1EB";"TCGA.DD.A3A5";"TCGA.BD.A3EP";"TCGA.BC.A10Q";"TCGA.FV.A3I1";"TCGA.DD.A39X";"TCGA.DD.A39Z";"TCGA.DD.A39W";"TCGA.BC.A10X";"TCGA.DD.A3A2";"TCGA.DD.A1EJ";"TCGA.DD.A118";"TCGA.BC.A216";"TCGA.DD.A11D";"TCGA.BC.A10R"
"TCGA.BD.A3EP";0;0;0,868251137344481;0,880561444847385;0;0;0;0,920163691538075;0;0;0;0,850335752082141;0;0,948367283401391;0;0;0;0;0;0,883232534154426;0;0,927177568861413;0;0;0,854301091888761;0;0;0,887582953491158;0,909851899207708;0;0;0;0;0;0,926925995696847;0;0;0,897897615547233;0;0;0,905876998794572;0,892503481632447;0,862964082773962;0;0,864107296767514
"TCGA.BC.A10Q";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,896145423092087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TCGA.FV.A3I1";0;0,862647949816052;0;0,851785401681978;0;0;0;0,861118575846593;0;0;0;0,882084010944011;0;0,861644441950796;0;0;0;0;0;0;0;0;0,867111575723793;0;0,872006586123955;0;0;0;0;0;0;0;0,926925995696847;0;0;0;0;0;0;0;0;0;0;0;0
"TCGA.DD.A39X";0;0;0;0;0;0;0;0;0;0;0,87076292814995;0;0;0;0;0;0;0;0;0,923967235346556;0;0,860134290476105;0;0;0;0;0;0,877969592604772;0;0;0;0;0;0;0;0;0,916677940505225;0;0;0;0;0;0;0;0,858085434849982
"TCGA.DD.A39Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,916677940505225;0;0;0;0;0;0;0;0;0
"TCGA.DD.A39W";0;0;0;0,930138580015312;0;0;0;0,862489533220651;0;0;0;0;0;0,869106070538961;0;0;0;0;0;0;0;0,884242012085032;0;0;0;0;0,902565609693299;0;0,905979237734786;0;0;0;0,897897615547233;0;0;0;0;0;0;0;0;0;0;0;0
"TCGA.BC.A10X";0,862621000301366;0,865730385762767;0;0,887138046815432;0;0,893686762700034;0,851727471635307;0;0;0,859234756951696;0;0;0;0;0,862902345281531;0;0,899732003190201;0;0;0;0;0;0,912110619285539;0;0;0;0;0;0;0,954241811846835;0;0,86576562233233;0;0;0;0;0;0;0;0,875024434194241;0;0;0;0;0
"TCGA.DD.A3A2";0,922715019542387;0,903587765170621;0;0,89764415838907;0,917756224171147;0,941700368737388;0,93504570931512;0;0,931475217364806;0,911673298465739;0;0,873777880200095;0,911815782805855;0;0,946444496580201;0;0,959339282223066;0,905055753521259;0,933611782379498;0;0,906113024785804;0;0,905673709732055;0,890921982201016;0;0,891968728337158;0;0;0;0,853110102845119;0,92587036525292;0,933187199425566;0;0;0;0;0;0;0,875024434194241;0;0;0;0;0,929563041445212;0
"TCGA.DD.A1EJ";0;0;0;0;0;0;0;0,877800202478648;0;0;0;0;0;0,892532725753507;0;0;0;0;0;0,855747808839612;0;0,885844146785267;0;0;0;0;0;0;0;0;0;0;0,905876998794572;0;0;0;0;0;0;0;0;0;0;0;0
"TCGA.DD.A118";0;0;0;0;0;0;0;0,914468724868831;0;0;0;0,857399899438895;0;0,888777935571444;0;0;0;0;0;0,873507671981132;0;0,887146804636276;0;0;0;0;0;0,908456686358519;0,877467235626814;0;0;0;0,892503481632447;0;0;0;0;0;0;0;0;0;0;0;0,907651556981413
"TCGA.BC.A216";0;0,865123709897052;0;0;0;0;0;0;0;0;0;0,866286980637614;0;0;0;0;0;0;0;0;0;0;0,854599487513371;0;0;0;0;0,856573458781148;0;0;0;0;0,862964082773962;0;0;0;0;0;0;0;0;0;0;0;0,850656761957234
"TCGA.DD.A11D";0,910312977741577;0,859707919485329;0;0;0,943463995566756;0,871836957542547;0,853368746608057;0;0,913369979837409;0;0;0;0,975273442458859;0;0,930621928427355;0;0,926185010517094;0,975432320254242;0,967707273850091;0;0,972384510072235;0;0,869066276159185;0,960981418933028;0;0,961708071467652;0;0;0;0;0,948421554535456;0,902997166526338;0;0;0;0;0;0;0;0,929563041445212;0;0;0;0;0
"TCGA.BC.A10R";0,872157198183896;0,850881761905567;0,874300853818752;0,86592339646291;0;0;0,871195740191498;0,886404076645248;0;0;0;0,900861129536338;0;0;0;0;0,851695253744046;0;0;0;0;0,863121579694141;0,864961456035768;0;0;0;0;0,903546856786158;0;0;0;0;0,864107296767514;0;0;0,858085434849982;0;0;0;0;0;0,907651556981413;0,850656761957234;0;0
